MsgID.GLOBAL_POSITION,1519872666.5266869,-121.9939375,37.4137426,0.0810000
MsgID.LOCAL_VELOCITY,1519872666.5266869,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1519872666.5269110,0.2079628,-0.0935150,-0.0814638
MsgID.LOCAL_VELOCITY,1519872666.5269110,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1519872666.5272141,False,False
MsgID.GLOBAL_HOME,1519872666.5276411,-121.9939365,37.4137407,0.0000000
MsgID.GLOBAL_POSITION,1519872666.5277729,-121.9939361,37.4137424,0.1070000
MsgID.LOCAL_VELOCITY,1519872666.5277729,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1519872666.5279202,0.1887155,0.0317581,-0.1070951
MsgID.LOCAL_VELOCITY,1519872666.5279202,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1519872666.5280631,-121.9939356,37.4137420,0.1400000
MsgID.LOCAL_VELOCITY,1519872666.5280631,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1519872666.5282030,0.1509840,0.0754164,-0.1406659
MsgID.LOCAL_VELOCITY,1519872666.5282030,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1519872666.5283480,-121.9939359,37.4137418,0.1750000
MsgID.LOCAL_VELOCITY,1519872666.5283480,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1519872666.5284879,0.1252757,0.0520402,-0.1759996
MsgID.LOCAL_VELOCITY,1519872666.5284879,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1519872666.5286250,-121.9939358,37.4137423,0.2090000
MsgID.LOCAL_VELOCITY,1519872666.5286250,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1519872666.5287738,0.1809545,0.0606808,-0.2096159
MsgID.LOCAL_VELOCITY,1519872666.5287738,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1519872666.5289500,False,False
